Local time,Open,High,Low,Close,Volume
2022-10-24,1653.848,1658.488,1643.747,1651.468,96481844.6637
2022-10-25,1651.387,1662.187,1638.098,1656.868,73680820.2862
2022-10-26,1656.968,1674.678,1654.998,1664.448,72290219.7243
2022-10-27,1664.457,1669.548,1654.668,1664.648,77820680.0818
2022-10-28,1664.668,1665.248,1637.898,1644.498,61415559.6793
2022-10-31,1644.238,1645.488,1630.477,1637.357,53525309.533
2022-11-01,1637.348,1656.878,1636.327,1650.597,68979849.4575
2022-11-02,1650.607,1669.257,1631.708,1637.467,74990274.7869
2022-11-03,1637.498,1639.918,1616.477,1639.058,74646912.7091
2022-11-04,1638.987,1681.718,1638.407,1681.148,80180749.8931
2022-11-07,1672.297,1681.758,1666.707,1669.978,61712000.3104
2022-11-08,1669.988,1716.738,1664.557,1708.297,69196999.6691
2022-11-09,1708.278,1722.168,1702.048,1709.548,74702119.9467
2022-11-10,1709.587,1756.998,1703.838,1752.767,85929688.9302
2022-11-14,1761.078,1774.938,1753.098,1770.845,61755919.9929
2022-11-15,1770.845,1786.367,1767.887,1771.788,105022967.3983
2022-11-16,1771.847,1784.928,1761.827,1762.248,72736609.4887
2022-11-17,1762.167,1770.877,1754.268,1762.408,76166911.5422
2022-11-18,1762.357,1767.578,1747.317,1750.398,55437430.2032
2022-11-21,1745.998,1746.958,1732.338,1744.948,51244849.9499
2022-11-22,1744.917,1749.598,1732.857,1734.788,48450023.5023
2022-11-23,1734.827,1756.618,1728.137,1755.558,63350830.5846
2022-11-25,1758.408,1758.867,1745.848,1754.417,34608310.163
2022-11-28,1751.407,1763.618,1739.348,1753.688,62007717.6391
2022-11-29,1753.678,1758.898,1746.767,1754.168,53919954.9258
2022-11-30,1754.208,1779.898,1744.717,1779.428,73701630.05590001
2022-12-01,1779.428,1804.298,1774.458,1797.298,71799769.6399
2022-12-02,1797.298,1802.898,1778.418,1797.248,67160391.9269
2022-12-05,1808.547,1809.278,1766.0,1772.358,67671829.9985
2022-12-06,1772.338,1780.728,1767.118,1770.748,58610030.5915
2022-12-07,1770.747,1790.357,1769.498,1783.298,65664609.611200005
2022-12-08,1783.347,1797.388,1781.457,1796.358,53096430.3612
2022-12-09,1796.348,1805.998,1788.768,1795.397,54849815.5177
2022-12-12,1787.148,1795.328,1777.417,1782.485,40580220.0137
2022-12-13,1782.505,1824.358,1782.305,1808.915,40044679.3735
2022-12-14,1808.875,1814.035,1789.505,1790.975,36810360.4021
2022-12-15,1790.955,1796.295,1773.608,1778.805,36411924.8392
2022-12-16,1778.825,1794.198,1774.205,1792.598,28929749.7869
2022-12-19,1792.825,1798.637,1783.785,1790.245,29991589.9931
2022-12-20,1790.278,1821.035,1786.777,1813.955,38993789.5835
2022-12-21,1813.945,1823.685,1811.705,1820.005,29879380.1666
2022-12-22,1819.995,1820.325,1784.627,1794.715,27835961.0738
2022-12-23,1794.715,1803.095,1791.065,1798.198,23247059.6583
2022-12-27,1804.895,1833.215,1802.188,1811.648,32155689.8654
2022-12-28,1811.635,1811.967,1796.905,1808.755,27379740.1486
2022-12-29,1808.775,1820.015,1804.205,1815.745,30444580.1824
2022-12-30,1815.735,1825.877,1813.175,1823.463,50212660.6106
2023-01-03,1840.268,1849.865,1827.525,1846.457,39842229.5452
2023-01-04,1846.448,1865.035,1844.605,1851.898,43315320.0745
2023-01-05,1851.838,1855.595,1824.995,1837.925,38389449.8943
2023-01-06,1837.908,1869.765,1833.165,1865.598,37469709.4562
2023-01-09,1876.828,1881.445,1867.745,1871.245,28040049.8509
2023-01-10,1871.195,1880.635,1870.268,1877.785,32724140.1077
2023-01-11,1877.748,1886.548,1867.015,1884.248,32497839.9724
2023-01-12,1884.255,1901.475,1872.76,1895.795,36588124.9307
2023-01-13,1895.807,1921.798,1892.205,1919.398,32415940.2848
2023-01-17,1911.245,1916.545,1897.228,1899.475,30655317.1575
2023-01-18,1899.455,1925.798,1896.495,1909.655,41156122.0286
2023-01-19,1909.668,1935.045,1906.305,1923.638,40118680.2686
2023-01-20,1923.638,1937.435,1920.508,1925.298,26304530.1139
2023-01-23,1929.395,1936.985,1911.248,1932.618,35275068.7006
2023-01-24,1932.728,1942.348,1917.065,1928.357,36686749.816
2023-01-25,1928.355,1949.085,1919.697,1946.585,26673579.9609
2023-01-26,1946.575,1948.875,1918.627,1921.535,31130648.7916
2023-01-27,1921.515,1934.918,1916.525,1927.598,26723089.5459
2023-01-30,1933.237,1933.625,1918.748,1920.095,24161239.8027
2023-01-31,1920.095,1930.998,1900.665,1925.588,29248309.94
2023-02-01,1925.547,1957.138,1920.435,1953.288,36770259.9168
2023-02-02,1953.288,1959.625,1911.225,1915.935,34099025.0111
2023-02-03,1915.955,1918.145,1861.255,1864.548,35445879.5786
2023-02-06,1878.277,1881.198,1862.935,1873.025,31409760.2668
2023-02-07,1873.005,1884.348,1864.898,1876.905,35056450.2778
2023-02-08,1876.895,1886.345,1868.898,1879.375,27366580.0989
2023-02-09,1879.345,1890.098,1853.688,1853.825,27421499.8781
2023-02-10,1853.825,1872.035,1852.588,1864.698,24013979.9415
2023-02-13,1857.685,1866.395,1850.325,1858.058,23201420.0987
2023-02-14,1858.058,1870.467,1843.165,1847.715,42834040.1353
2023-02-15,1847.695,1847.715,1830.475,1839.248,27495760.0534
2023-02-16,1839.265,1845.158,1823.715,1826.665,26350919.7833
2023-02-17,1826.665,1843.505,1818.805,1841.898,21754290.1636
2023-02-21,1839.025,1843.738,1830.095,1836.425,30759150.0731
2023-02-22,1836.435,1845.905,1823.045,1829.785,29103150.04
2023-02-23,1829.765,1833.685,1817.395,1825.425,29058850.0799
2023-02-24,1825.455,1826.235,1808.865,1810.665,23118850.1567
2023-02-27,1809.135,1820.055,1807.065,1814.385,23609159.9165
2023-02-28,1814.368,1831.585,1804.594,1829.995,28839119.8218
2023-03-01,1830.005,1844.408,1829.785,1834.305,27707440.0785
2023-03-02,1834.315,1841.435,1829.854,1838.345,31741339.7728
2023-03-03,1838.345,1856.768,1837.765,1855.798,23111546.1292
2023-03-06,1853.905,1858.168,1844.045,1847.218,25765500.2174
2023-03-07,1847.175,1851.555,1809.248,1811.445,26287059.9631
2023-03-08,1811.425,1824.185,1810.375,1814.205,24606354.9817
