Date,Gold,Gold Price,SMA_30,SMA_50,EMA_20,MACD,MACD_signal,RSI,BB_middle,BB_upper,BB_lower
2020-05-26,81,1708.428,1711.9538666666667,1668.7928,1715.8466621189189,14.483345430061263,16.950488582164336,51.89258137821288,1715.2707999999998,1752.0603095894357,1678.4812904105638
2020-05-27,81,1714.308,1711.7408666666668,1672.4334,1715.700122869498,12.67650888287153,16.095692642305774,57.21521894457484,1715.4828000000002,1752.1948575379986,1678.7707424620019
2020-05-28,78,1719.908,1711.9275333333333,1677.4459999999997,1716.100873072403,11.563158210482243,15.189185755941068,51.609039482798366,1715.8553,1752.5893080670937,1679.1212919329062
2020-05-29,80,1728.695,1712.7124333333334,1682.3463399999998,1717.3003137321741,11.260058302365678,14.403360265225992,60.23219013191943,1717.8864,1752.5883922522228,1683.1844077477774
2020-06-01,70,1739.268,1714.6214333333332,1687.15774,1719.39247432911,11.737697311079046,13.870227674396604,63.610467598457454,1719.9089,1754.6465424973444,1685.1712575026554
2020-06-02,66,1725.098,1715.8311,1690.2287399999998,1719.9358577263376,10.847782604959093,13.265738660509102,57.20818026594918,1721.2539000000002,1754.5032803972292,1688.004519602771
2020-06-03,70,1702.938,1716.4991,1691.99154,1718.317014133353,8.259185241418209,12.264427976690925,46.84332795685981,1721.28505,1754.4608084705214,1688.1092915294785
2020-06-04,68,1708.448,1716.4457666666667,1694.0597999999998,1717.3771080254146,6.5765042843258925,11.12684323821792,42.28612875401869,1722.1230500000001,1752.9118265502757,1691.3342734497246
2020-06-05,71,1684.758,1715.1571000000001,1695.255,1714.2705263087084,3.293418015557563,9.560158193685849,32.98894445906821,1720.58855,1755.553956907394,1685.623143092606
2020-06-08,71,1695.255,1714.0756666666668,1696.63714,1712.4595238031172,1.521035121046225,7.952333579157925,38.00964717736104,1720.2809000000002,1756.0557978969402,1684.5060021030602
2020-06-09,74,1715.055,1714.6382333333336,1698.6597399999998,1712.7067120123443,1.6945694900637136,6.700780761339082,40.517188689414496,1721.0149000000001,1755.6545360251885,1686.3752639748118
2020-06-10,75,1731.405,1715.3494666666666,1701.6012800000003,1714.4875013445019,3.115491636843217,5.98372293643991,47.36487454436445,1722.44475,1756.271302553153,1688.6181974468473
2020-06-11,78,1726.045,1715.8023666666666,1704.4164200000002,1715.5882155021684,3.765667203273324,5.540111789806593,49.630288541724596,1723.0756000000001,1756.6638810352795,1689.4873189647208
2020-06-12,70,1729.728,1717.1908666666668,1706.7490199999997,1716.934861644819,4.525950998017379,5.337279631448751,48.89440433213001,1722.9591,1756.432166721575,1689.486033278425
2020-06-15,72,1728.515,1718.1807666666668,1708.97836,1718.03773196436,4.9732736178536925,5.264478428729739,56.55268703555096,1722.30345,1754.7343062911712,1689.872593708829
2020-06-16,74,1726.325,1719.118333333333,1710.3133000000003,1718.826995586802,5.092363720371168,5.230055487058025,54.01683346369576,1721.7863000000002,1753.576221521727,1689.9963784782735
2020-06-17,75,1725.858,1719.9031,1711.8657,1719.4966150547257,5.090381735501751,5.202120736746771,52.05953617168572,1720.6198,1749.7794581714072,1691.4601418285927
2020-06-18,71,1725.778,1721.0394333333336,1713.4080999999999,1720.0948421923708,5.024437083703788,5.166584006138175,48.92554312192897,1719.8418000000001,1747.4637380515917,1692.2198619484086
2020-06-19,73,1743.268,1721.9667666666667,1714.6305,1722.3018096026212,6.3107261789195945,5.395412440694459,51.40193466984439,1720.63645,1750.028618004234,1691.244281995766
2020-06-22,72,1751.388,1723.6327666666666,1716.0153,1725.0719229738002,7.894334715867217,5.895196895729011,59.62228240977968,1721.52345,1753.5239264074678,1689.522973592532
2020-06-23,75,1767.768,1725.8792,1716.9685,1729.1382160239145,10.351756393351934,6.786508795253596,74.77642742490252,1724.49045,1761.9215112444244,1687.0593887555756
2020-06-24,75,1763.695,1727.9087666666667,1717.8284399999998,1732.4293383073511,11.83420635271068,7.796048306745013,71.34852735464818,1726.9598,1767.9129473173875,1686.0066526826126
2020-06-25,74,1760.638,1729.4824333333333,1718.7550400000002,1735.1158775161748,12.616943997761382,8.760227444948287,84.8841485840382,1728.9963,1772.4475623139226,1685.5450376860774
2020-06-26,73,1770.898,1730.7771,1720.07004,1738.5236987051105,13.90487868835362,9.789157693629354,84.8511375468794,1731.10645,1778.423221155909,1683.789678844091
2020-06-29,73,1770.598,1731.7427666666667,1721.84204,1741.5783940665285,14.731552549206754,10.777636664744835,81.19587073003603,1732.6729500000001,1783.0996725167229,1682.2462274832774
2020-06-30,72,1783.728,1733.3114333333333,1723.74044,1745.5926422506686,16.258757966693338,11.873860925134535,80.49019265060664,1735.60445,1790.7710351398207,1680.4378648601794
2020-07-01,73,1768.785,1733.9646666666667,1725.4581800000003,1747.8014382267954,16.077967248579625,12.714682189823554,72.40370704296224,1738.8968,1793.7132076919695,1684.0803923080305
2020-07-02,75,1775.508,1735.1036666666666,1726.7673799999998,1750.4401583956721,16.28940509337849,13.429626770534542,73.25605023063007,1742.2498,1797.426800332801,1687.0727996671992
2020-07-06,75,1784.425,1737.0053333333335,1727.9875200000001,1753.6768099770368,16.980754913737883,14.139852399175211,76.34033732215198,1747.23315,1798.4049892345017,1696.0613107654983
2020-07-07,76,1794.245,1739.0252333333333,1729.3184600000002,1757.5404471220809,18.11225970275177,14.934333859890524,79.85232067510542,1752.18265,1801.293869274639,1703.0714307253609
2020-07-08,81,1809.295,1742.3874666666666,1731.5408000000002,1762.4694521580732,19.992928586420703,15.94605280519656,82.50547361367589,1756.8946499999997,1808.999565570814,1704.7897344291855
2020-07-09,79,1801.155,1745.2823666666668,1733.36254,1766.1537900477806,20.589202742156658,16.87468279258858,77.63025739903074,1760.3821500000001,1814.597866844449,1706.1664331555512
2020-07-10,78,1798.088,1747.8883666666666,1735.0751400000001,1769.1951433765635,20.577073345742747,17.615160903219415,72.470896868339,1763.9843,1818.1673529694876,1709.8012470305125
2020-07-13,75,1797.548,1750.1834666666666,1737.26464,1771.8954154359383,20.289996771962706,18.150128076968073,70.17482517482514,1767.3753000000002,1821.017615555417,1713.7329844445833
2020-07-14,73,1808.875,1752.5037000000002,1739.46578,1775.4172806325155,20.73743254154283,18.667588969883028,68.79658335390998,1771.3933000000002,1824.8177794870548,1717.9688205129455
2020-07-15,73,1809.718,1755.3243666666667,1741.69618,1778.6840158103712,20.918911477350093,19.117853471376442,71.68502690426607,1775.5629500000002,1827.16311856959,1723.9627814304104
2020-07-16,77,1798.965,1758.5252666666668,1743.6291800000001,1780.6155381141455,19.964914501388876,19.28726567737893,66.83770746751244,1779.2183,1826.1383548530166,1732.2982451469834
2020-07-17,81,1809.248,1761.8852666666667,1745.98038,1783.3424392461316,19.810256876332232,19.39186391716959,66.8444077444745,1783.3917999999999,1824.8256788996785,1741.9579211003213
2020-07-20,81,1819.648,1766.3816,1748.06438,1786.800111698881,20.29295808887946,19.572082751511566,69.78843919442285,1787.2108,1827.1252809896514,1747.2963190103487
2020-07-21,81,1857.048,1771.7747000000002,1751.17718,1793.490386775178,23.42335980140092,20.342338161489437,74.73584065422445,1792.4938000000002,1839.7407374985198,1745.2468625014806
2020-07-22,82,1868.385,1776.8856999999998,1754.5373800000002,1800.623207082304,26.513396928859038,21.57654991496336,84.43983402489614,1797.5246499999998,1854.177270613976,1740.8720293860238
2020-07-23,82,1889.798,1782.1654666666666,1758.27718,1809.1160445030368,30.34037875887475,23.329315683745637,85.87481951158254,1803.8298,1871.6065928411422,1736.0530071588578
2020-07-24,94,1901.098,1788.0005666666666,1762.0305799999999,1817.8762307408429,33.89439154582283,25.442330856161078,86.08301942810478,1810.8528,1888.2161469465898,1733.48945305341
2020-07-27,97,1943.548,1795.1279,1766.2603799999997,1829.8449706702863,39.67893841256773,28.28965236744241,88.42014791331057,1819.4852999999998,1914.5757215954447,1724.394878404555
2020-07-28,100,1952.848,1802.6056666666666,1770.48478,1841.5595448921638,44.50068950859213,31.531859795672357,88.06701564016473,1828.5978,1937.83947592154,1719.35612407846
2020-07-29,97,1964.945,1810.5596666666668,1775.05032,1853.3105406167197,48.736287210507726,34.97274527863943,92.5406472391044,1837.6586499999999,1960.4512117433057,1714.866088256694
2020-07-30,90,1969.265,1818.6732333333334,1779.45186,1864.3538224627464,51.84399153866957,38.34699453064546,94.1717458957592,1847.68265,1979.2222001609161,1716.1430998390838
2020-07-31,87,1975.568,1826.9995666666664,1784.1364600000002,1874.9456488948658,54.19079132240108,41.515753888996585,94.6107274239948,1857.68565,1996.3498680008931,1719.0214319991067
2020-08-03,84,1973.845,1834.6854666666666,1789.0658600000002,1884.3646347144024,55.27444595270481,44.26749230173823,93.43098745800903,1867.1566499999997,2010.5469971496386,1723.7663028503607
2020-08-04,92,2013.085,1843.4087,1794.6546000000003,1896.6237171225546,58.62381130747008,47.1387561028846,94.53571538067348,1878.09865,2031.1367860882904,1725.0605139117094
2020-08-05,94,2042.985,1852.5826,1801.3457400000002,1910.5628869204065,62.96506551638913,50.30401798558551,99.30374273637592,1889.78315,2055.834000214496,1723.732299785504
2020-08-06,91,2056.418,1862.3400333333334,1808.18794,1924.453850070844,66.72036080239263,53.587286548946935,99.31249401474768,1902.5463,2078.8388005863508,1726.253799413649
