index,Date,Gold
578,2019-08-02,75
579,2019-08-03,76
580,2019-08-04,72
581,2019-08-05,83
582,2019-08-06,78
583,2019-08-07,86
584,2019-08-08,89
585,2019-08-09,87
586,2019-08-10,86
587,2019-08-11,81
588,2019-08-12,81
589,2019-08-13,86
590,2019-08-14,86
591,2019-08-15,80
592,2019-08-16,86
593,2019-08-17,84
594,2019-08-18,84
595,2019-08-19,81
596,2019-08-20,81
597,2019-08-21,79
598,2019-08-22,81
599,2019-08-23,80
600,2019-08-24,81
601,2019-08-25,79
602,2019-08-26,84
603,2019-08-27,85
604,2019-08-28,82
605,2019-08-29,85
606,2019-08-30,84
607,2019-08-31,83
608,2019-09-01,81
609,2019-09-02,76
610,2019-09-03,78
611,2019-09-04,84
612,2019-09-05,82
613,2019-09-06,84
614,2019-09-07,89
615,2019-09-08,80
616,2019-09-09,81
617,2019-09-10,86
618,2019-09-11,80
619,2019-09-12,94
620,2019-09-13,90
621,2019-09-14,90
622,2019-09-15,88
623,2019-09-16,91
624,2019-09-17,83
625,2019-09-18,86
626,2019-09-19,82
627,2019-09-20,88
628,2019-09-21,92
629,2019-09-22,82
630,2019-09-23,80
631,2019-09-24,81
632,2019-09-25,80
633,2019-09-26,83
634,2019-09-27,82
635,2019-09-28,80
636,2019-09-29,81
637,2019-09-30,76
638,2019-10-01,81
639,2019-10-02,77
640,2019-10-03,79
641,2019-10-04,81
642,2019-10-05,83
643,2019-10-06,75
644,2019-10-07,74
645,2019-10-08,77
646,2019-10-09,74
647,2019-10-10,76
648,2019-10-11,82
649,2019-10-12,83
650,2019-10-13,81
651,2019-10-14,77
652,2019-10-15,76
653,2019-10-16,75
654,2019-10-17,74
655,2019-10-18,78
656,2019-10-19,81
657,2019-10-20,81
658,2019-10-21,74
659,2019-10-22,77
660,2019-10-23,76
661,2019-10-24,76
662,2019-10-25,93
663,2019-10-26,80
664,2019-10-27,73
665,2019-10-28,72
666,2019-10-29,73
667,2019-10-30,74
668,2019-10-31,75
669,2019-11-01,74
670,2019-11-02,79
671,2019-11-03,73
672,2019-11-04,79
673,2019-11-05,76
674,2019-11-06,79
675,2019-11-07,78
676,2019-11-08,78
677,2019-11-09,80
678,2019-11-10,76
679,2019-11-11,77
680,2019-11-12,78
681,2019-11-13,75
682,2019-11-14,75
683,2019-11-15,78
684,2019-11-16,83
685,2019-11-17,81
686,2019-11-18,78
687,2019-11-19,78
688,2019-11-20,78
689,2019-11-21,78
690,2019-11-22,77
691,2019-11-23,80
692,2019-11-24,78
693,2019-11-25,75
694,2019-11-26,80
695,2019-11-27,77
696,2019-11-28,76
697,2019-11-29,82
698,2019-11-30,89
699,2019-12-01,78
700,2019-12-02,76
701,2019-12-03,79
702,2019-12-04,76
703,2019-12-05,76
704,2019-12-06,75
705,2019-12-07,81
706,2019-12-08,82
707,2019-12-09,74
708,2019-12-10,77
709,2019-12-11,75
710,2019-12-12,77
711,2019-12-13,79
712,2019-12-14,77
713,2019-12-15,78
714,2019-12-16,77
715,2019-12-17,76
716,2019-12-18,73
717,2019-12-19,76
718,2019-12-20,77
719,2019-12-21,80
720,2019-12-22,74
721,2019-12-23,76
722,2019-12-24,80
723,2019-12-25,79
724,2019-12-26,88
725,2019-12-27,83
726,2019-12-28,80
727,2019-12-29,80
728,2019-12-30,85
729,2019-12-31,79
730,2020-01-01,80
731,2020-01-02,60
732,2020-01-03,64
733,2020-01-04,68
734,2020-01-05,68
