Date,Gold,Gold Price
2022-01-12,72,1825.838
2022-01-13,80,1825.874
2022-01-14,62,1817.418
2022-01-18,66,1811.648
2022-01-19,68,1839.728
2022-01-20,71,1841.328
2022-01-21,72,1834.328
2022-01-24,93,1841.868
2022-01-25,70,1847.298
2022-01-26,68,1815.688
2022-01-27,67,1798.448
2022-01-28,76,1791.028
2022-01-31,73,1799.318
2022-02-01,73,1797.425
2022-02-02,74,1806.438
2022-02-03,77,1806.455
2022-02-04,78,1807.558
2022-02-07,83,1821.298
2022-02-08,86,1827.158
2022-02-09,92,1833.988
2022-02-10,82,1824.088
2022-02-11,99,1857.898
2022-02-14,83,1877.278
2022-02-15,87,1852.768
2022-02-16,84,1873.805
2022-02-17,92,1890.318
2022-02-18,88,1897.768
2022-02-22,86,1896.868
2022-02-23,81,1935.533
2022-02-24,90,1912.048
2022-02-25,83,1888.528
2022-02-28,88,1905.398
2022-03-01,83,1936.213
2022-03-02,83,1924.461
2022-03-03,80,1938.956
2022-03-04,83,1969.848
2022-03-07,94,1991.088
2022-03-08,94,2051.518
2022-03-09,92,1977.648
2022-03-10,88,1987.888
2022-03-11,86,1988.248
2022-03-14,84,1942.088
2022-03-15,85,1917.938
2022-03-16,85,1936.228
2022-03-17,84,1935.008
2022-03-18,81,1921.198
2022-03-21,80,1936.558
2022-03-22,80,1921.718
2022-03-23,81,1938.733
2022-03-24,82,1960.741
2022-03-25,80,1957.688
2022-03-28,78,1925.063
2022-03-29,77,1923.513
2022-03-30,81,1924.978
2022-03-31,82,1938.053
2022-04-01,79,1924.778
2022-04-04,77,1928.488
2022-04-05,78,1923.768
2022-04-06,76,1922.177
2022-04-07,75,1930.772
2022-04-08,83,1947.138
2022-04-11,73,1958.908
2022-04-12,79,1969.738
2022-04-13,74,1973.544
2022-04-14,76,1973.218
2022-04-15,78,1973.218
2022-04-18,78,1978.562
2022-04-19,78,1943.928
2022-04-20,74,1951.268
2022-04-21,76,1950.338
2022-04-22,77,1930.708
2022-04-25,76,1902.173
2022-04-26,77,1899.013
2022-04-27,79,1878.828
2022-04-28,77,1904.228
2022-04-29,79,1895.748
2022-05-02,76,1862.493
2022-05-03,78,1864.578
2022-05-04,75,1901.103
2022-05-05,74,1876.794
2022-05-06,76,1883.148
2022-05-09,76,1864.208
